protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url
0,0,1,1959,2708,405158,157,1,0,6,0,12,0,0,0,0,1,1
0,0,0,371,0,33172,10,1,0,13,0,14,0,0,0,0,1,1
0,0,0,36,0,548,0,1,1,13,1,16,0,0,0,0,1,0
0,0,1,30,148,93,1,1,1,12,0,12,0,0,0,0,1,1
0,0,1,1089,2283,9098,34,1,0,10,0,14,0,0,0,1,1,1
0,0,1,403,360,6530,12,1,0,7,0,12,0,0,0,1,1,1
0,1,1,116057,26978,86938,1532,1,1,10,0,4,0,0,0,0,1,1
0,1,0,1004316,82144,941627,3875,1,0,8,0,9,0,0,1,0,1,1
0,0,1,354184,278242,11321,1139,1,1,7,0,15,0,0,2,1,1,1
0,0,0,28,158,91,0,1,1,13,0,13,0,0,0,0,1,1
1,0,0,0,2,51215,0,0,0,11,0,11,0,0,0,0,0,0
0,0,0,11611,10761,2660,33,1,1,13,0,5,0,0,0,0,1,0
0,0,0,15,0,5937,1,1,0,11,0,9,0,0,0,0,0,0
0,0,1,181,330,2176,1,1,0,8,0,18,0,0,0,0,1,1
0,0,1,438,0,14119,4,1,0,11,1,13,0,0,0,0,1,1
1,0,1,313,368,6598,1,1,0,8,0,9,0,0,0,0,1,0
0,0,0,404,12,59487,7,1,0,5,0,7,0,0,0,0,0,0
0,0,1,264,597,8615,21,1,0,7,0,12,0,1,2,0,1,0
0,0,1,196,209,3039,11,1,0,12,1,12,0,0,0,0,1,0
0,1,1,13997,2716,49083,175,1,0,12,0,13,0,1,0,0,1,1
0,0,0,89,575,102,1,1,1,15,0,15,0,0,0,0,1,1
0,0,1,153,121,4044,37,1,0,5,1,10,0,0,0,0,1,0
0,0,0,544,441,22299,21,1,0,12,0,12,0,2,0,0,1,1
0,0,0,123,1185,134,0,1,1,14,0,15,0,0,0,0,0,0
0,0,1,416,268,26734,7,1,0,10,0,11,0,0,0,0,1,0
0,0,0,95,672,87,0,1,1,14,0,14,0,0,0,0,1,1
0,0,1,796,526,31395,4,1,0,8,0,1,0,0,0,0,1,0
0,0,1,164868,146043,649068,6592,1,1,11,0,20,0,0,1,0,1,1
0,0,1,960,79,16770,23,1,0,6,0,2,0,0,0,0,1,1
0,0,1,6095,7402,5125,24,1,1,15,1,15,0,0,0,0,1,0
0,0,1,161,217,3412,11,1,0,13,0,3,0,0,0,0,1,0
0,0,0,81,0,1030,0,0,0,14,0,15,0,0,0,0,0,1
0,0,1,29,155,107,0,1,1,12,0,12,0,0,0,0,1,1
0,0,1,1486,1887,93963,52,1,0,8,1,5,0,0,0,0,1,0
1,0,0,50,140,78574,0,1,0,10,1,5,0,0,0,0,1,0
0,0,1,63761,22478,26911,221,1,0,13,1,11,0,0,0,0,1,1
0,0,1,102,86,13555,1,1,0,11,0,7,0,0,0,0,1,0
0,0,1,329,202,9123,9,1,0,9,0,9,0,0,0,0,1,0
0,0,1,513,630,13427,36,1,0,13,1,2,0,0,3,0,1,1
0,0,1,3915,1,7070,185,1,0,9,0,25,0,0,0,1,1,1
0,0,1,134,162,636,5,1,0,10,1,14,0,0,0,0,1,0
0,0,0,111,816,107,2,1,1,11,0,11,0,0,2,0,1,1
1,0,1,212,315,1593,6,1,0,6,0,10,0,0,3,0,1,0
0,0,0,155,1190,131,3,1,1,12,0,12,0,0,1,0,1,1
0,0,1,29,748,153,0,1,1,12,0,5,0,0,0,0,1,0
