protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,account_age_in_days,average_tweets_per_day,followers_following_count
0,0,1,1959,2708,405158,157,1,0,6,0,12,0,0,0,0,1,1,5049,80.24519706872648,5304972
0,0,0,371,0,33172,10,1,0,13,0,14,0,0,0,0,1,1,4822,6.879303193695562,0
0,0,0,36,0,548,0,1,1,13,1,16,0,0,0,0,1,0,4041,0.135609997525365,0
0,0,1,30,148,93,1,1,1,12,0,12,0,0,0,0,1,1,3138,0.029636711281070746,4440
0,0,1,1089,2283,9098,34,1,0,10,0,14,0,0,0,1,1,1,5069,1.794831327678043,2486187
0,0,1,403,360,6530,12,1,0,7,0,12,0,0,0,1,1,1,4842,1.348616274266832,145080
0,1,1,116057,26978,86938,1532,1,1,10,0,4,0,0,0,0,1,1,4820,18.036929460580915,3130985746
0,1,0,1004316,82144,941627,3875,1,0,8,0,9,0,0,1,0,1,1,4882,192.8773043834494,82498533504
0,0,1,354184,278242,11321,1139,1,1,7,0,15,0,0,2,1,1,1,4854,2.3323032550473837,98548864528
0,0,0,28,158,91,0,1,1,13,0,13,0,0,0,0,1,1,3149,0.028898062877103843,4424
1,0,0,0,2,51215,0,0,0,11,0,11,0,0,0,0,0,0,4901,10.449908182003673,0
0,0,0,11611,10761,2660,33,1,1,13,0,5,0,0,0,0,1,0,3198,0.8317698561601,124945971
0,0,0,15,0,5937,1,1,0,11,0,9,0,0,0,0,0,0,4716,1.258905852417303,0
0,0,1,181,330,2176,1,1,0,8,0,18,0,0,0,0,1,1,4804,0.4529558701082431,59730
0,0,1,438,0,14119,4,1,0,11,1,13,0,0,0,0,1,1,3484,4.0525258323765785,0
1,0,1,313,368,6598,1,1,0,8,0,9,0,0,0,0,1,0,4948,1.3334680679062247,115184
0,0,0,404,12,59487,7,1,0,5,0,7,0,0,0,0,0,0,5051,11.777271827360918,4848
0,0,1,264,597,8615,21,1,0,7,0,12,0,1,2,0,1,0,5181,1.6628064080293379,157608
0,0,1,196,209,3039,11,1,0,12,1,12,0,0,0,0,1,0,4918,0.617934119560797,40964
0,1,1,13997,2716,49083,175,1,0,12,0,13,0,1,0,0,1,1,5245,9.358055290753098,38015852
0,0,0,89,575,102,1,1,1,15,0,15,0,0,0,0,1,1,3152,0.03236040609137056,51175
0,0,1,153,121,4044,37,1,0,5,1,10,0,0,0,0,1,0,4813,0.8402243922709329,18513
0,0,0,544,441,22299,21,1,0,12,0,12,0,2,0,0,1,1,4957,4.49848698809764,239904
0,0,0,123,1185,134,0,1,1,14,0,15,0,0,0,0,0,0,3153,0.04249920710434507,145755
0,0,1,416,268,26734,7,1,0,10,0,11,0,0,0,0,1,0,4932,5.420519059205191,111488
0,0,0,95,672,87,0,1,1,14,0,14,0,0,0,0,1,1,3134,0.027760051052967454,63840
0,0,1,796,526,31395,4,1,0,8,0,1,0,0,0,0,1,0,4241,7.4027352039613294,418696
0,0,1,164868,146043,649068,6592,1,1,11,0,20,0,0,1,0,1,1,4922,131.8707842340512,24077817324
0,0,1,960,79,16770,23,1,0,6,0,2,0,0,0,0,1,1,5352,3.133408071748879,75840
0,0,1,6095,7402,5125,24,1,1,15,1,15,0,0,0,0,1,0,3793,1.3511732138149222,45115190
0,0,1,161,217,3412,11,1,0,13,0,3,0,0,0,0,1,0,5139,0.6639424012453785,34937
0,0,0,81,0,1030,0,0,0,14,0,15,0,0,0,0,0,1,4719,0.21826658190294554,0
0,0,1,29,155,107,0,1,1,12,0,12,0,0,0,0,1,1,3148,0.033989834815756036,4495
0,0,1,1486,1887,93963,52,1,0,8,1,5,0,0,0,0,1,0,5177,18.150086922928338,2804082
1,0,0,50,140,78574,0,1,0,10,1,5,0,0,0,0,1,0,4805,16.352549427679502,7000
0,0,1,63761,22478,26911,221,1,0,13,1,11,0,0,0,0,1,1,3902,6.896719630958483,1433219758
0,0,1,102,86,13555,1,1,0,11,0,7,0,0,0,0,1,0,4921,2.754521438731965,8772
0,0,1,329,202,9123,9,1,0,9,0,9,0,0,0,0,1,0,4715,1.9348886532343583,66458
0,0,1,513,630,13427,36,1,0,13,1,2,0,0,3,0,1,1,4847,2.770167113678564,323190
0,0,1,3915,1,7070,185,1,0,9,0,25,0,0,0,1,1,1,5368,1.317064083457526,3915
0,0,1,134,162,636,5,1,0,10,1,14,0,0,0,0,1,0,4839,0.1314321140731556,21708
0,0,0,111,816,107,2,1,1,11,0,11,0,0,2,0,1,1,3149,0.033979040965385836,90576
1,0,1,212,315,1593,6,1,0,6,0,10,0,0,3,0,1,0,4955,0.32149344096871846,66780
0,0,0,155,1190,131,3,1,1,12,0,12,0,0,1,0,1,1,3152,0.041560913705583756,184450
0,0,1,29,748,153,0,1,1,12,0,5,0,0,0,0,1,0,3619,0.04227687206410611,21692
1,0,1,633,128,27253,10,1,0,13,0,7,0,0,0,0,1,0,4858,5.609921778509674,81024
0,0,0,26,152,102,0,1,1,15,0,16,0,0,0,0,0,0,3150,0.03238095238095238,3952
0,0,1,384,316,20492,20,1,0,6,0,2,0,0,0,1,1,0,4738,4.325031658927817,121344
0,0,1,95,63,4342,16,1,0,9,1,7,0,0,0,0,1,1,5617,0.773010503827666,5985
0,1,1,48951,276,13248,209,1,0,11,0,7,0,0,0,0,1,1,4962,2.6698911729141477,13510476
0,0,0,24,164,126,0,1,1,14,0,14,0,0,0,0,1,1,3150,0.04,3936
0,0,0,152,0,45854,3,0,0,15,0,15,0,0,0,0,0,0,4723,9.708659750158798,0
0,0,1,255,343,13036,5,1,0,9,0,10,0,0,0,0,1,0,4763,2.736930505983624,87465
0,0,1,144,139,928,8,1,0,14,0,13,0,0,0,0,1,0,4849,0.19137966591049702,20016
0,0,0,1338,656,40620,0,1,0,10,1,10,0,0,0,0,1,1,4290,9.468531468531468,877728
0,0,1,729,681,26690,22,1,0,11,0,8,0,0,1,0,1,1,5080,5.253937007874016,496449
0,0,1,124,1065,109,1,1,1,13,0,13,0,0,0,0,1,1,3147,0.03463616142357801,132060
0,0,1,790,1418,9600,21,1,0,12,0,19,0,0,0,0,1,0,4886,1.9647973802701597,1120220
0,0,0,5,42,504,0,0,0,7,0,11,0,0,0,0,0,0,4724,0.10668924640135478,210
0,0,0,101,966,94,0,1,1,13,0,13,0,0,0,0,1,1,3139,0.029945842625039822,97566
0,0,0,25,148,81,0,1,1,13,0,13,0,0,1,0,1,1,3133,0.025853814235556973,3700
0,1,1,150414,450,20143,240,1,1,5,0,5,0,1,0,0,1,1,4029,4.999503598907918,67686300
0,0,0,316,1268,18749,3,1,1,13,0,13,0,0,0,0,1,0,3522,5.323395797842135,400688
0,0,1,949,1,527242,11,1,0,8,0,9,0,0,0,0,1,1,4821,109.36361750674133,949
0,0,0,14,6,0,0,0,0,6,0,9,0,0,0,0,0,0,4772,0.0,84
0,0,1,91,390,6482,0,1,0,8,0,14,0,0,0,0,0,0,4897,1.323667551562181,35490
1,0,1,56,284,358,3,1,0,7,0,16,0,0,0,0,0,0,4913,0.07286790148585386,15904
0,0,1,1183,1733,5982,28,1,0,14,0,14,0,0,0,0,1,1,5268,1.1355353075170842,2050139
0,0,1,251,446,15964,13,1,0,11,0,14,0,0,0,0,1,1,3714,4.2983306408185245,111946
0,0,1,2646,141,5142,99,1,0,10,1,10,0,0,0,0,1,1,5091,1.0100176782557455,373086
1,0,0,502,284,5955,7,1,0,7,0,6,0,0,0,0,0,0,4927,1.2086462350314593,142568
0,0,1,397,628,38633,12,1,0,10,1,11,1,0,0,0,0,0,4841,7.9803759553811195,249316
1,0,0,786,660,38060,4,1,0,6,0,5,0,0,0,0,1,0,3438,11.070389761489238,518760
0,0,1,444019,461,36657,884,1,0,9,0,5,0,0,0,0,1,1,4767,7.689741976085588,204692759
0,0,0,294,1079,112,1,1,0,9,0,7,0,0,0,0,0,0,4812,0.023275145469659187,317226
0,0,1,585,1639,32076,38,1,0,9,0,15,0,1,4,0,1,0,4972,6.451327433628318,958815
