UserID,CreatedAt,CollectedAt,NumerOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile 
614,13/7/06 15:30,20/11/09 23:56,510,350,3265,10,34
1038,15/7/06 16:12,16/11/09 5:12,304,443,4405,7,156
1437,16/7/06 12:29,16/11/09 16:25,45,73,725,6,37
2615,19/7/06 23:23,27/11/09 18:34,211,230,211,7,0
3148,26/7/06 14:17,20/11/09 17:35,7346,7244,11438,8,97
5593,8/9/06 10:58,24/11/09 6:08,898,1024,2897,8,56
9375,18/10/06 9:58,18/11/09 4:07,53,131,566,9,11
10336,24/10/06 10:05,17/11/09 16:32,754,4103,6181,6,0
10455,25/10/06 4:02,15/11/09 2:51,140,222,1192,9,15
10698,26/10/06 19:04,16/11/09 2:20,140,1329,17457,8,63
11718,7/11/06 14:02,24/11/09 13:41,254,3639,8245,11,31
12527,15/11/06 9:13,27/11/09 17:29,108,92,815,12,49
13602,21/11/06 13:27,29/11/09 7:08,145,395,7468,6,28
15313,22/11/06 9:20,14/11/09 5:55,189,1665,3180,9,20
16683,22/11/06 19:16,13/11/09 8:35,70,322,4458,8,75
17363,23/11/06 2:05,18/11/09 1:33,277,868,4693,10,128
21833,25/11/06 9:10,13/11/09 4:22,87,94,269,8,18
25723,27/11/06 15:40,14/11/09 3:38,242,722,16787,7,139
32613,30/11/06 12:03,27/11/09 10:50,182,490,8384,15,51
46183,6/12/06 12:46,18/11/09 19:01,71,174,300,13,110
47203,6/12/06 22:15,14/11/09 1:53,259,485,4605,3,25
50263,8/12/06 5:45,29/11/09 5:55,130,150,3498,4,117
56733,10/12/06 23:31,24/11/09 23:49,672,780,6795,8,0
60663,12/12/06 8:22,21/11/09 22:38,2855,5413,21166,12,158
63093,13/12/06 3:20,20/11/09 3:37,133,160,549,7,11
157763,22/12/06 6:54,16/11/09 21:09,262,325,2701,6,0
198623,23/12/06 10:18,26/11/09 7:58,152,249,2871,8,69
304713,27/12/06 19:26,23/11/09 11:39,235,385,50356,6,85
451373,2/1/07 7:13,22/11/09 10:04,315,198,4694,9,84
627303,11/1/07 16:19,15/11/09 16:01,234,1845,5411,7,70
638323,15/1/07 14:15,25/11/09 0:08,191,1014,11653,6,35
639393,15/1/07 15:45,15/11/09 19:03,127,151,3116,6,76
642373,15/1/07 19:33,21/11/09 3:44,250,289,4238,7,75
647073,16/1/07 10:27,24/11/09 3:23,350,488,2458,9,149
653843,17/1/07 5:16,27/11/09 6:40,58,202,3876,4,26
659203,18/1/07 1:22,27/11/09 19:24,13,43,640,7,0
660183,18/1/07 8:21,25/11/09 3:47,41,66,808,8,0
665333,19/1/07 9:41,15/11/09 10:05,165,396,5245,13,28
666633,19/1/07 12:32,22/11/09 8:32,279,450,1900,6,73
674433,21/1/07 2:38,14/11/09 11:06,35067,35122,24670,12,105
678323,21/1/07 20:32,22/11/09 8:27,1001,885,8324,7,67
680873,22/1/07 8:35,16/11/09 6:59,321,506,5837,9,101
702363,25/1/07 11:42,16/11/09 19:39,37,10,679,7,7
708623,26/1/07 8:46,27/11/09 12:51,101,128,2636,7,41
709433,26/1/07 11:00,15/11/09 12:40,346,297,4619,5,28
713093,27/1/07 0:59,18/11/09 10:45,75,64,1709,8,35
716013,27/1/07 15:17,20/11/09 9:51,148,107,1821,12,27
720043,28/1/07 10:27,14/11/09 19:58,172,188,2995,14,24
727053,29/1/07 11:37,12/11/09 23:10,310,616,9006,9,159
735513,30/1/07 20:17,26/11/09 21:08,76,221,1369,4,22
738693,31/1/07 10:51,16/11/09 1:03,1,4721,20970,7,90
746493,2/2/07 0:08,29/11/09 1:25,0,0,121,9,0
750963,3/2/07 3:10,12/11/09 16:47,60,56,192,3,0
751443,3/2/07 6:33,21/11/09 8:33,106,1277,1058,3,24
755113,5/2/07 23:17,20/11/09 10:30,309,3663,12927,9,120
756206,7/2/07 12:31,24/11/09 16:13,29,9,38,11,0
758371,8/2/07 13:46,13/11/09 3:14,222,257,4051,15,147
761223,9/2/07 14:05,25/11/09 2:52,425,598,2936,13,46
761483,9/2/07 16:16,12/11/09 18:03,1347,1706,26073,9,65
766658,12/2/07 0:44,20/11/09 16:54,388,263,9326,8,0
771528,13/2/07 21:54,16/11/09 21:53,152,231,7373,6,47
780308,19/2/07 8:29,20/11/09 8:59,168,1004,14697,6,11
781786,19/2/07 18:58,22/11/09 16:47,481,955,7358,14,133
782482,20/2/07 0:56,22/11/09 16:53,252,3438,10974,3,24
784998,20/2/07 18:27,22/11/09 14:43,270,1544,17168,8,154
790949,23/2/07 9:07,29/11/09 2:41,360,258,1922,7,33
794785,26/2/07 1:55,24/11/09 14:42,9,78,164,4,37
803835,1/3/07 11:12,27/11/09 1:54,128,255,1657,5,40
805817,2/3/07 3:55,17/11/09 14:32,2248,2632,6427,9,139
805922,2/3/07 6:16,24/11/09 5:50,207,187,2071,12,7
808664,3/3/07 10:57,21/11/09 14:47,17,32,172,4,0
808851,3/3/07 13:34,12/11/09 18:59,725,732,2283,6,117
810719,4/3/07 14:38,12/11/09 21:04,269,444,8353,13,154
812035,5/3/07 5:15,16/11/09 5:31,392,615,4812,12,70
813512,5/3/07 18:10,27/11/09 12:18,1975,3364,1537,7,141
813669,5/3/07 19:25,20/11/09 0:03,143,623,5101,8,158
813798,5/3/07 20:20,20/11/09 7:55,615,890,6110,5,146
816986,6/3/07 21:38,15/11/09 10:51,61,101,1475,6,41
818340,7/3/07 9:20,25/11/09 18:40,4915,14065,13836,9,158
820251,7/3/07 18:27,16/11/09 20:45,129,701,4168,11,45
820394,7/3/07 19:07,19/11/09 23:55,875,1596,12969,11,143
820694,7/3/07 20:59,20/11/09 11:22,1785,8103,29999,8,75
820972,7/3/07 23:19,26/11/09 22:51,357,401,2001,9,74
821340,8/3/07 4:29,27/11/09 2:05,419,380,1957,14,56
823162,8/3/07 15:42,29/11/09 6:16,1458,7211,37701,9,78
823806,8/3/07 20:01,13/11/09 17:43,153,136,916,11,28
849591,9/3/07 15:57,25/11/09 21:31,246,8626,25275,8,116
859571,9/3/07 21:18,15/11/09 22:17,533,1974,23508,14,18
864371,10/3/07 1:38,26/11/09 22:31,2057,1894,3287,7,45
913721,11/3/07 3:38,22/11/09 23:14,68,29,3162,3,0
930581,11/3/07 10:55,16/11/09 9:05,803,857,1502,6,33
934071,11/3/07 11:42,25/11/09 7:22,1396,2281,4192,9,40
978381,11/3/07 22:03,14/11/09 11:34,189,168,4122,10,128
987901,12/3/07 0:14,29/11/09 12:38,1759,1371,8718,6,152
988491,12/3/07 0:24,23/11/09 21:12,2234,3827,10665,12,115
1016461,12/3/07 10:06,23/11/09 18:18,369,479,3267,11,34
1028821,12/3/07 12:50,25/11/09 22:21,731,485,1920,13,28
1035761,12/3/07 14:37,15/11/09 15:26,456,563,6532,8,55
1039441,12/3/07 15:30,12/11/09 15:46,597,562,2910,11,79
1053341,12/3/07 18:37,21/11/09 12:56,676,1590,16015,14,75
1069651,13/3/07 0:13,26/11/09 11:21,70,186,3771,8,0
1072341,13/3/07 1:19,14/11/09 7:12,1233,1507,13900,10,34
1095931,13/3/07 10:57,16/11/09 10:53,327,553,509,6,0
1097451,13/3/07 11:17,15/11/09 22:39,374,2722,9188,5,110
1101481,13/3/07 12:16,14/11/09 20:05,572,379,1548,10,159
1114011,13/3/07 15:36,27/11/09 5:42,87,156,1626,12,53
1114231,13/3/07 15:41,13/11/09 20:27,751,1173,24898,4,21
1121591,13/3/07 17:38,18/11/09 15:21,494,446,4204,6,17
1144181,14/3/07 3:02,25/11/09 1:59,659,699,2960,6,21
1145151,14/3/07 3:39,22/11/09 19:20,1164,583,1195,9,93
1157891,14/3/07 9:06,14/11/09 10:31,406,362,1072,11,101
1330201,16/3/07 21:40,25/11/09 16:45,356,2318,1974,15,85
1357191,17/3/07 10:05,13/11/09 3:07,220,1103,2603,10,112
1387211,17/3/07 20:05,21/11/09 19:28,219,693,2995,5,0
1393571,17/3/07 22:38,19/11/09 14:32,435,364,1771,8,160
1401261,18/3/07 1:26,29/11/09 2:51,406,1323,41436,8,52
1421521,18/3/07 10:35,18/11/09 0:59,316,1041,1781,8,21
1456331,18/3/07 19:37,16/11/09 21:10,237,116,4475,15,13
1463931,18/3/07 21:28,26/11/09 16:45,37,53,721,6,12
1479681,19/3/07 2:36,15/11/09 0:04,153,859,962,7,20
1501881,19/3/07 8:18,26/11/09 8:21,28883,31756,3941,8,53
1524641,19/3/07 11:28,14/11/09 0:14,1113,1074,17011,5,95
1551941,19/3/07 15:51,26/11/09 15:36,127,133,678,8,32
1565151,19/3/07 19:23,14/11/09 15:44,749,924,12489,9,106
1580771,19/3/07 21:53,17/11/09 0:57,59,181,6114,10,92
1590921,20/3/07 0:12,16/11/09 10:51,37,391,1473,9,9
1643931,20/3/07 11:21,16/11/09 14:35,121,1002,22950,15,94
1659921,20/3/07 14:02,15/11/09 13:07,107,200,7933,11,26
1754641,21/3/07 9:49,13/11/09 18:44,138,12579,31597,15,39
1765001,21/3/07 11:22,17/11/09 19:28,879,1179,16684,6,67
1783541,21/3/07 14:06,21/11/09 13:11,274,359,4227,11,121
1784651,21/3/07 14:22,25/11/09 4:28,171,564,2664,5,0
1834241,21/3/07 23:15,17/11/09 21:30,162,209,3985,8,26
1916331,22/3/07 13:05,22/11/09 7:14,106,414,7051,10,24
1917731,22/3/07 13:15,23/11/09 19:13,22332,20503,6924,7,86
1919751,22/3/07 13:28,13/11/09 4:30,113,94,1917,10,78
1925191,22/3/07 14:08,18/11/09 6:43,306,334,1568,7,100
1937751,22/3/07 15:55,17/11/09 23:55,642,1874,7391,10,29
2020351,23/3/07 10:13,19/11/09 23:31,791,6477,8073,6,132
2063921,23/3/07 18:35,21/11/09 9:33,314,1294,20130,8,111
2149371,24/3/07 21:10,29/11/09 7:47,37,51,1942,7,12
2162791,25/3/07 2:54,13/11/09 5:07,253,2280,28758,6,160
2192201,25/3/07 12:50,14/11/09 4:52,204,8338,3348,9,75
2204991,25/3/07 15:29,18/11/09 10:06,31,50,1013,6,27
2212031,25/3/07 16:59,22/11/09 12:09,46,77,2055,5,16
2269011,26/3/07 2:38,22/11/09 20:29,104,94,656,5,24
2276201,26/3/07 3:56,23/11/09 12:50,295,442,8721,12,140
2300251,26/3/07 8:45,14/11/09 5:41,506,1041,5421,7,42
